date,avgtemp,humidity,wind_speed,meanpressure
2013-01-01,10.0,84.5,0.0,10.156.666.666.666.600
2013-01-02,7.4,92.0,2.98,1017.8
2013-01-03,7.166.666.666.666.660,87.0,4.633.333.333.333.330,10.186.666.666.666.600
2013-01-04,8.666.666.666.666.660,7.133.333.333.333.330,12.333.333.333.333.300,10.171.666.666.666.600
2013-01-05,6.0,8.683.333.333.333.330,36.999.999.999.999.900,1016.5
2013-01-06,7.0,82.8,1.48,1018.0
2013-01-07,7.0,78.6,6.3,1020.0
2013-01-08,8.857.142.857.142.850,63.714.285.714.285.700,7.142.857.142.857.140,10.187.142.857.142.800
2013-01-09,14.0,51.25,12.5,1017.0
2013-01-10,11.0,62.0,73.999.999.999.999.900,10.156.666.666.666.600
2013-01-11,15.714.285.714.285.700,51.285.714.285.714.200,10.571.428.571.428.500,10.161.428.571.428.500
2013-01-12,14.0,74.0,13.228.571.428.571.400,10.155.714.285.714.200
2013-01-13,15.833.333.333.333.300,7.516.666.666.666.660,4.633.333.333.333.330,10.133.333.333.333.300
2013-01-14,12.833.333.333.333.300,8.816.666.666.666.660,6.166.666.666.666.660,10.151.666.666.666.600
2013-01-15,14.714.285.714.285.700,7.185.714.285.714.280,5.285.714.285.714.280,10.158.571.428.571.400
2013-01-16,13.833.333.333.333.300,8.666.666.666.666.660,0.0,10.166.666.666.666.600
2013-01-17,16.5,8.083.333.333.333.330,5.250.000.000.000.000,10.158.333.333.333.300
2013-01-18,13.833.333.333.333.300,9.216.666.666.666.660,8.950.000.000.000.000,1014.5
2013-01-19,12.5,7.666.666.666.666.660,5.883.333.333.333.330,10.216.666.666.666.600
2013-01-20,11.285.714.285.714.200,7.528.571.428.571.420,8.471.428.571.428.570,10.202.857.142.857.100
2013-01-21,11.2,77.0,2.22,1021.0
2013-01-22,9.5,7.966.666.666.666.660,30.833.333.333.333.300,1021.8
2013-01-23,14.0,60.166.666.666.666.600,4.016.666.666.666.660,1020.5
2013-01-24,13.833.333.333.333.300,60.666.666.666.666.600,6.166.666.666.666.660,1020.5
2013-01-25,12.25,67.0,5.55,1020.75
2013-01-26,12.666.666.666.666.600,6.416.666.666.666.660,6.800.000.000.000.000,10.196.666.666.666.600
2013-01-27,12.857.142.857.142.800,6.557.142.857.142.850,5.557.142.857.142.850,10.181.428.571.428.500
2013-01-28,14.833.333.333.333.300,56.0,36.999.999.999.999.900,10.178.333.333.333.300
2013-01-29,14.125,65.5,3.2375,1.016.625
2013-01-30,14.714.285.714.285.700,7.042.857.142.857.140,10.571.428.571.428.500,10.178.571.428.571.400
2013-01-31,16.2,65.6,2.96,1018.4
2013-02-01,16.0,73.0,2.22,1016.0
2013-02-02,16.285.714.285.714.200,7.757.142.857.142.850,13.285.714.285.714.200,10.171.428.571.428.500
2013-02-03,18.0,6.557.142.857.142.850,18.571.428.571.428.500,10.152.857.142.857.100
2013-02-04,17.428.571.428.571.400,7.428.571.428.571.420,11.114.285.714.285.700,10.145.714.285.714.200
2013-02-05,16.625,92.375,9.725.000.000.000.000,1.016.375
2013-02-06,16.666.666.666.666.600,7.133.333.333.333.330,8.633.333.333.333.330,10.186.666.666.666.600
2013-02-07,15.6,59.4,10.74,1018.6
2013-02-08,14.0,7.042.857.142.857.140,9.257.142.857.142.850,10.171.428.571.428.500
2013-02-09,15.428.571.428.571.400,61.285.714.285.714.200,9.257.142.857.142.850,10.168.571.428.571.400
2013-02-10,15.25,71.5,34.749.999.999.999.900,1.017.125
2013-02-11,15.875,70.5,5.325,1016.5
2013-02-12,15.333.333.333.333.300,7.033.333.333.333.330,7.416.666.666.666.660,1017.5
2013-02-13,16.285.714.285.714.200,7.014.285.714.285.710,6.085.714.285.714.280,1016.0
2013-02-14,17.333.333.333.333.300,63.833.333.333.333.300,4.333.333.333.333.330,10.141.666.666.666.600
2013-02-15,19.166.666.666.666.600,6.533.333.333.333.330,10.183.333.333.333.300,10.116.666.666.666.600
2013-02-16,14.428.571.428.571.400,9.271.428.571.428.570,8.485.714.285.714.280,1008.0
2013-02-17,13.666.666.666.666.600,90.0,0.0,10.126.666.666.666.600
2013-02-18,15.6,78.4,12.220.000.000.000.000,1016.2
2013-02-19,15.857.142.857.142.800,82.0,5.814.285.714.285.710,10.157.142.857.142.800
2013-02-20,17.714.285.714.285.700,7.471.428.571.428.570,5.814.285.714.285.710,1017.0
2013-02-21,20.0,6.728.571.428.571.420,6.614.285.714.285.710,10.154.285.714.285.700
2013-02-22,20.5,65.625,10.875.000.000.000.000,1016.0
2013-02-23,17.428.571.428.571.400,7.485.714.285.714.280,9.257.142.857.142.850,1017.0
2013-02-24,16.857.142.857.142.800,7.885.714.285.714.280,7.400.000.000.000.000,10.188.571.428.571.400
2013-02-25,16.875,72.875,4.6375,1018.25
2013-02-26,17.857.142.857.142.800,70.0,17.587.500.000.000.000,10.151.428.571.428.500
2013-02-27,20.8,57.2,6.660.000.000.000.000,1015.2
2013-02-28,19.428.571.428.571.400,52.857.142.857.142.800,12.957.142.857.142.800,10.174.285.714.285.700
2013-03-01,17.333.333.333.333.300,49.333.333.333.333.300,24.066.666.666.666.600,10.163.333.333.333.300
2013-03-02,19.0,54.0,15.725,1016.25
2013-03-03,19.333.333.333.333.300,62.833.333.333.333.300,8.633.333.333.333.330,10.161.666.666.666.600
2013-03-04,17.6,71.0,55.600.000.000.000.000,1015.8
2013-03-05,20.875,61.875,41.625.000.000.000.000,1.016.375
2013-03-06,20.857.142.857.142.800,6.528.571.428.571.420,6.871.428.571.428.570,10.157.142.857.142.800
2013-03-07,23.428.571.428.571.400,57.142.857.142.857.100,8.728.571.428.571.420,10.152.857.142.857.100
2013-03-08,24.166.666.666.666.600,44.833.333.333.333.300,71.000.000.000.000.000,10.148.333.333.333.300
2013-03-09,25.428.571.428.571.400,49.714.285.714.285.700,5.285.714.285.714.280,10.092.857.142.857.100
2013-03-10,23.142.857.142.857.100,5.757.142.857.142.850,4.228.571.428.571.420,1008.0
2013-03-11,24.0,6.633.333.333.333.330,9.333.333.333.333.330,10.111.666.666.666.600
2013-03-12,23.5,62.5,4.933.333.333.333.330,1011.5
2013-03-13,21.5,70.5,5.55,1009.0
2013-03-14,22.333.333.333.333.300,61.166.666.666.666.600,12.033.333.333.333.300,10.131.666.666.666.600
2013-03-15,24.166.666.666.666.600,45.833.333.333.333.300,7.716.666.666.666.660,10.161.666.666.666.600
2013-03-16,20.333.333.333.333.300,6.766.666.666.666.660,36.999.999.999.999.900,10.161.666.666.666.600
2013-03-17,22.666.666.666.666.600,58.666.666.666.666.600,8.95,1015.0
2013-03-18,23.428.571.428.571.400,58.142.857.142.857.100,17.457.142.857.142.800,10.094.285.714.285.700
2013-03-19,22.5,7.366.666.666.666.660,10.483.333.333.333.300,1011.0
2013-03-20,29.166.666.666.666.600,36.333.333.333.333.300,6.800.000.000.000.000,1009.5
2013-03-21,23.833.333.333.333.300,58.5,10.5,10.083.333.333.333.300
2013-03-22,25.25,50.25,9.7125,1.006.375
2013-03-23,27.375,50.125,9.950.000.000.000.000,1.007.625
2013-03-24,27.0,48.75,10.8875,1010.25
2013-03-25,23.5,45.5,15.962.499.999.999.900,1.010.625
2013-03-26,24.142.857.142.857.100,4.457.142.857.142.850,12.957.142.857.142.800,10.088.571.428.571.400
2013-03-27,21.0,62.0,1.85,1009.0
2013-03-28,22.428.571.428.571.400,62.714.285.714.285.700,74.142.857.142.857.100,10.095.714.285.714.200
2013-03-29,21.25,70.375,5.550.000.000.000.000,1009.75
2013-03-30,23.5,54.75,11.112.499.999.999.900,1.008.625
2013-03-31,23.2,58.0,6.660.000.000.000.000,1008.6
2013-04-01,25.375,45.5,4.4,1008.5
